0	1.188526375809521e-14
1	2.421158610389622e-13
2	7.077838784703334e-13
3	4.677101200743662e-13
4	64.00000000000065
5	2.651924687913774e-13
6	1.1221394820693058e-13
7	9.599238951588195e-14
8	32.000000000000156
9	2.2305708193919523e-13
10	2.9208053874748066e-13
11	8.845508528344522e-14
12	2.7033275741963363e-13
13	5.68461301605584e-14
14	1.0679936544768677e-13
15	4.3170889820367844e-14
16	1.447826286806092e-14
17	3.5743730045983893e-14
18	5.953501695192132e-14
19	4.038261225432575e-14
20	1.3100572089943846e-13
21	3.6667603935644266e-14
22	3.819056646262897e-14
23	2.7332395371933408e-14
24	4.7320360249959765e-14
25	2.089118771233212e-14
26	3.986249378562251e-14
27	1.3135449635094144e-14
28	6.750197244505388e-14
29	1.3743314452201923e-14
30	3.6741985845345636e-14
31	1.4787440752356852e-14
32	4.101947796507059e-15
33	1.565421475303469e-14
34	3.603513114678287e-14
35	1.8115286400788434e-14
36	5.324015540759525e-14
37	1.9275138326469523e-14
38	3.923057669044138e-14
39	1.814606960021129e-14
40	2.504970736689717e-14
41	1.3768733947916274e-14
42	5.094158635593713e-14
43	2.863533217028148e-14
44	3.082576393129355e-14
45	2.9441211044011984e-14
46	7.511749299419463e-14
47	2.6835455553125557e-14
48	1.4478262868060946e-14
49	4.093108526449106e-14
50	1.1649237238738053e-13
51	5.185737376414727e-14
52	1.7888106562552446e-13
53	8.693853642795437e-14
54	3.069642077154841e-13
55	2.383505282636502e-13
56	32.000000000000284
57	1.1580096441653436e-13
58	1.228293564750954e-13
59	2.6446114513928025e-13
60	64.00000000000094
61	5.018660532039091e-13
62	7.061087941302577e-13
63	2.498909984514285e-13
